rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
3,L2_RQSTS.REFERENCES,3510,847756923.0279529,69938302.80058593,0.08249806153252713,148172383.71548924,1084562129.5768166,677961748.3151462,704808790.3935834,807008554.3920081,881154949.1027423,893900153.1051062,904600542.2853051,919200447.1331341,0.2850915860650578
3,MEM_LOAD_COMPLETED.L1_MISS_ANY,3510,718101630.6807258,32308903.93306033,0.044992104950984504,131501955.08756517,1136383478.281228,644202829.5339614,656819139.5775938,709354346.8599696,729202103.7453041,736007243.1328156,742479630.6276554,747271387.1242702,0.31002855359106957
3,MEM_LOAD_RETIRED.L1_HIT,3510,11111111829.63671,630795368.7553416,0.05677157951671577,1262417135.797506,22096141436.93919,10498248521.775911,10553529801.421736,10685159843.563276,10953833489.345541,11472447167.830488,12160018672.257996,12509155928.550905,0.48684428037710437
3,MEM_LOAD_RETIRED.L2_HIT,3510,86845253.50213537,16055693.765155759,0.18487704414105924,16211142.071495734,246742507.6414288,59975174.300142676,65276352.35949252,76679248.41771935,82751513.9064474,94833786.76181,119378717.58937165,130496997.4171664,0.8337730974235477
3,MEM_LOAD_RETIRED.L1_MISS,3510,449294611.1119765,19496994.798620835,0.043394677604449726,75657730.51895906,572261517.9554955,408428225.7336811,414557406.13379616,444070811.0579091,451348571.95999444,460673215.6723515,470348102.52707887,478041604.8536323,0.29956157228636604
3,MEM_LOAD_RETIRED.L2_MISS,3510,361113593.8385871,16181164.606917249,0.04480907083810866,55368278.23944094,389729549.1008535,322294416.1708443,337872599.53130555,355006247.47269744,364605519.4474567,367945314.04306805,379998723.1710797,384182246.52737606,0.46413513977020016
3,TOPDOWN.SLOTS_P,3492,1.1055242710058148e+32,6.532865340668396e+33,59.09291647414256,-1.5195992609494866e+25,3.860475711006033e+35,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028452942355508944
3,TOPDOWN.MEMORY_BOUND_SLOTS,3501,4.330927258153488e-271,0.0,0.0,0.0,1.5162516624849667e-267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,MEMORY_ACTIVITY.STALLS_L1D_MISS,3510,54359147486.36693,1655219335.6313262,0.030449692685972477,2627018700.360849,55827985938.04529,52471384864.19162,53668691133.683464,54200817815.672714,54437398359.58357,54681271875.4525,55202549751.567474,55404689388.61434,0.8625310943723438
3,MEMORY_ACTIVITY.STALLS_L2_MISS,3510,54035456096.96608,1647575890.768604,0.030490644657686347,2576696785.734411,55487871771.63453,52130725712.91321,53330041536.37747,53883833591.48669,54128998781.38328,54356297125.78731,54844719748.21304,55030649410.611694,0.8659480284743291
